#How to read this file:
#This is a comment and will be ignored since it starts with "#"
#A comment above a list of entries is the network name
#On a given line the first entry is the text that will be returned if any comma separated entries after that entry on that line are found at the start of the file name
#a lowercase abbreviation (typically the second entry on each line, if it's known) is the same used as the release name on usenet alt.binaries.erotica

#21sextury
"Tetangas Espanolas", te, "TetangasEspanolas"
"Tetonas Locas", "TetonasLocas"

#CumLoader
"Bitch Confessions", bc, "BitchConfessions"
"Boldly Girls", bg, "BoldlyGirls"
"Boob Day", bday, "BoobDay"
"Breaking Asses", brass, "BreakingAsses"
"Cocks XL", cxl, "CocksXL"
"Cum Extreme", ce, "CumExtreme"
"Cum Trick", cumt, "CumTrick"
"Cumloader Tour", ctour, "CumloaderTour"
"Ex-girlfriends", ex-girlfriends, "ExGirlfriends"
"Fuckin Van", fvan, "FuckinVan", "Fuckin'Van", "Fuckin' Van"
"Fucking Amateurs", amateur, "FuckingAmateurs"
"Give Me Spunk", gms, "GiveMeSpunk"
"Handjob Goddess", hjg, "HandjobGoddess"
"Hungry Cum Eaters", hce, "HungryCumEaters"
"Latin Asses In Public", laip, "LatinAssesInPublic"
"Living With A Pornstar", lwap, "LivingWithAPornstar"
"Living With Leyla", "LivingWithLeyla"
"Nacho Fucks", hereicum, "NachoFucks", "Here I Cum", "HereICum"
"Porns Heros", pheros, "PornsHeros"
"Pornstar Fisher", pfisher, "PornstarFisher"
"Pov", pov
"Spoof Porn", sporn, "SpoofPorn"
"Street Suckers", streets, "Street Suckers"
"Stunning Butts", sbutts, "StunningButts"
"Sweet 18", sweet18, "Sweet18"

#DDFprod
"1by-day", 1byd, "1ByDay", "1 By Day"
"Cherry Jul", cj, "CherryJul"
"DDFBusty", ddfb, "Ddf Busty"
"Euro Girls On Girls", egog, "EuroGirlsOnGirls"
"Euro Teen Erotica", ete, "EuroTeenErotica"
"Hands On Hardcore", hoh
"Hot Legs And Feet", hlaf, "HotLegsAndFeet"
"House of Taboo", hotb, "HouseOfTaboo"
"Only Blowjob", obj, "OnlyBlowjob"
"Sex Video Casting", svc, "SexVideoCasting"


#Killergram
"Killergram", kg

#Kink
"Bound Gangbangs", "BoundGangbangs"
"Device Bondage", deb, "DeviceBondage"
"Divine Bitches", "DivineBitches"
"Electrosluts", el
"Everything Butt", eb, "EverythingButt"
"Foot Worship", fw, "FootWorship"
"Fucking Machines", fum, "FuckingMachines"
"Hardcore Gangbang", hgb, "Hardcore Gangbang"
"Hogtied", ht
"Kink Live", "KinkLive"
"Men In Pain", "MenInPain"
"Public Disgrace", pud, "PublicDisgrace"
"Real Fucking Couples", "RealFuckingCouples"
"Sex And Submission", sas, "SexAndSubmission"
"The Training Of O", tto, "TheTrainingOfO"
"The Upper Floor", tuf, "TheUpperFloor"
"Ts Seduction", "TsSeduction"
"Ultimate Surrender", us, "UltimateSurrender"
"Water Bondage", "WaterBondage"
"Whipped Ass", wpa, "WhippedAss"
"Wired Pussy", "WiredPussy"

#Mofos
"Border Patrol Sex", bps, "BorderPatrolSex"
"Can She Take It", "CanSheTakeIt"
"College Bash", "CollegeBash"
"I Know That Girl", iktg, "IKnowThatGirl"
"In Gang We Bang", "InGangWeBang"
"Latina Sex Tapes", lst, "LatinaSexTapes"
"Let's Try Anal", lta, "Let'sTryAnal", "LetsTryAnal"
"Milfs Like It Black", mlibk, "MilfsLikeItBlack"
"Mofos B Sides", mbs, "MofosBSides"
"Mofos Live", mofosl, "MofosLive"
"Mofos Old School", "MofosOldSchool"
"Mofos Worldwide", mww, "MofosWorldwide"
"Pervs On Patrol", pop, "PervsOnPatrol"
"Public Pick Ups", ppu, "PublicPickUps"
"Real Slut Party", rsp, "RealSlutParty"
"She's A Freak", saf, "She'sAFreak", "ShesAFreak", "Shes A Freak"
"Stranded Teens", sts, "StrandedTeens"
"Teens At Work", "TeensAtWork"

#Muffia
"Cumfu", "Cum Fu"
"Footville", "Foot Ville"
"Happy Tugs", hts, "HappyTugs"
"Its Real", "ItsReal", "It's Real", "Its Real"
"King Dong", "KingDong"
"Kristins Life", "KristinsLife", "Kristin's Life", "Kristin'sLife"
"Manuel Uncut", "ManuelUncut"
"Molly's Life", "Molly'sLife", "MollysLife"
"My Sexy Life", "MySexyLife"
"Naked Movie", "NakedMovie"
"Porn Stars Lick", "PornStarsLick"

#MyXXXPass
"1000 Facials", 1kf, "1000Facials", "OneThousandFacials"
"1st Interracial", "1stInterracial", "First Interracial"
"I Love Monster Cocks", "ILoveMonsterCocks"
"Immoral Live", il, "ImmoralLive"
"Its A Big Black Thing", "It's A Big Black Thing", "ItsABigBlackThing", "It'sABigBlackThing"
"Love Your Tits", "LoveYourTits"
"Meat My Ass", "MeatMyAss"
"Mommy Blows Best", mbb, "MommyBlowsBest"
"Only Teen Blowjobs", otb, "OnlyTeenBlowjobs"
"Share My Cock", "ktr.smc", "ShareMyCock"
"Soccer Mom Score", "SoccerMomScore"
"Stuffed Petite", "StuffedPetite"
"Throated", ted
"XXX Pillow Talk", "XXXPillowTalk"


#Naughty America
"2 Chicks Same Time", 2cst, 2ChicksSameTime
"American Daydreams", americandaydreams, AmericanDayDreams
"Asian 1on1", a1o1, Asian1On1
"Ass Masterpiece", amp, AssMasterpiece
"Diary of a Milf", doam, DiaryOfAMilf
"Diary of a Nanny", doan, "DiaryOfANanny"
"Dirty Wives Club", dwc, "DirtyWivesClub"
"Fast Times at Naughty America", FastTimesAtNaughtyAmerica
"Housewife 1 On 1", h1o1, Housewife1On1
"I Have A Wife", ihaw, IHaveAWife
"Latin Adultery", la, LatinAdultery
"Lesbian Girl On Girl", lgog, ktr.lgog, "LesbianGirlOnGirl"
"My Dad's Hot Girlfriend", mdhg, MyDadsHotGirlfriend
"My First Sex Teacher", mfst, MyFirstSexTeacher
"My Friend's Hot Girl", mfhg, MyFriendsHotGirl
"My Friend's Hot Mom", mfhm, MyFriendsHotMom
"My Girl Loves Anal", mgla, MyGirlLovesAnal
"My Girlfriend's Busty Friend", mgbf, MyGirlFriendsBustyFriend
"My Naughty Latin Maid", MyNaughtyLatinMaid
"My Naughty Massage", mnm2, ktr.mnm2 MyNaughtyMassage
"My Sister's Hot Friend", mshf, MySistersHotFriend
"My Wife's Hot Friend", mwhf, MyWifesHotFriend
"Naughty America", naa, sexo-na-, "sexo na", NaughtyAmerica
"Naughty Athletics", naughtyathletics, NaughtyAthletics
"Naughty Bookworms", nb, naughtybookworms, NaughtyBookworms
"Naughty Country Girls", ncg, NaughtyCountryGirls
"Naughty Flipside", naughtyflipside, NaughtyFlipside
"Naughty Office", no, naughtyoffice, NaughtyOffice
"Naughty Rich Girls", nrg, NaughtyRichGirls
"Naughty Weddings", nw, NaughtyWeddings
"Neighbor Affair", naf, NeighborAffair
"Seduced By A Cougar", sbac, SeducedByACougar
"Socal Coeds", SocalCoeds
"Wives on Vacation", wov, "WivesOnVacation"

#Nerd Pass
"18 With Proof", "18WithProof"
"Ass Delivery", "AssDelivery"
"Bad Girls Get Fucked", "BadGirlsGetFucked"
"Big Tits And Nerds", "BigTitsAndNerds"
"Bikini Nut", "BikiniNut"
"Facials Special", "FacialsSpecial"
"Miamis Juciest", "MiamisJuciest"
"My Neighbors Sex Tapes", "MyNeighborsSexTapes"
"My Personal Panties", "MyPersonalPanties"
"Pov Fixation", "PovFixation"
"See Me In Public", "SeeMeInPublic"
"Tits Burger", "TitsBurger"
"Tug Express", "TugExpress"
"Viva La Bus", "VivaLaBus"

#New Sensations - #no scene abbreviations found yet
"All Anal XXX", "AllAnalXXX"
"Ashlynn Brooke Official Site", "AshlynnBrookeOfficialSite"
"Black In The Ass", "BlackInTheAss"
"Blonde Bangers", "BlondeBangers"
"Brown Bangers", "BrownBangers"
"Busty College Coeds", "BustyCollegeCoeds"
"Butt Divers", "ButtDivers"
"Four Finger Club", "FourFingerClub"
"Fresh Outta High School", "FreshOuttaHighSchool"
"Fuck For Dollars", "FuckForDollars"
"Heavy Handfuls", "HeavyHandfuls"
"I Film Myself", "IFilmMyself"
"Internal Violations", "InternalViolations"
"Jizz Bomb", "JizzBomb"
"Lil Latinas", "LilLatinas"
"Mr. Biggz", "Mr.Biggz", "MrBiggz"
"Nachos Killer Pussy", "NachosKillerPussy"
"New Sensations", "NewSensations"
"Papa Loads", "PapaLoads"
"Pov Fantasy", "PovFantasy"
"Sadie West Official Site", "SadieWestOfficialSite"
"Shane Diesel's Bangin Babes", "ShaneDiesel'sBanginBabes", "ShaneDieselsBanginBabes"
"Squirting 101", "Squirting101"
"Stretched Out Snatch", "StretchedOutSnatch"
"Unlimited Milfs", "UnlimitedMilfs"


#Nuru
"All Girl Massage", agm, "AllGirlMassage"
"Massage Parlor", mp, "MassageParlor" 
"Milking Table", milkingtable, "MilkingTable"
"Nuru Massage", num, "NuruMassage"
"Soapy Massage", "SoapyMassage"

#Perfect Gonzo
"All Internal", allinternal, "AllInternal"
"Ass Traffic", asstraffic, "AssTraffic"
"Cum For Cover", cumforcover, "CumForCover"
"Fist Flush", fistflush, "FistFlush"
"Give Me Pink", givemepink, "GiveMePink"
"Milf Thing", "MilfThing"
"Prime Cups", primecups, "PrimeCups"
"Pure Pov", "PurePov", "PureP.O.V", "Pure P.O.V."
"Sperm Swap", spermswap, "SpermSwap"
"Tamed Teens", tamedteens, "TamedTeens"

#Porn Pros
"18 Years Old", 18yo, "18YearsOld"
"40oz Bounce", "40ozBounce"
"Amateur Violations", "AmateurViolations"
"Cock Competition", "CockCompetition"
"College Teens", "CollegeTeens"
"Cruelty Party", "ktr.cp", "CrueltyParty"
"Cum Disgrace", "CumDisgrace"
"Cumshot Surprise", "Cumshot Surprise"
"Deepthroat Love", dtl, "DeepthroatLove"
"Disgraced 18", ktr.di, "Disgraced18"
"Euro Humpers", "EuroHumpers"
"Flexible Positions", "FlexiblePositions"
"Freaks of Boobs", "FreaksOfBoobs"
"Freaks of Cock", "FreaksOfCock"
"Jurassic Cock", "JurassicCock"
"Massage Creep", mc, "MassageCreep"
"Milf Humiliation", "MilfHumiliation"
"Pimp Parade", "PimpParade"
"Public Violations", "PublicViolations"
"Real Exgirlfriends", reg, "RealExgirlfriends", "RealEx-girlfriends", "Real Ex-Girlfriends"
"Shady PI", spi, "ShadyPI"
"Squirt Disgrace", "SquirtDisgrace"
"Teen Bff", tbff, "TeenBff"
"Webcam Hackers", "WebcamHackers"


#Reality Kings
"40inchplus", "40 Inch Plus"
"8th Street Latinas", 8thsl, "8thStreetLatinas"
"Big Naturals", bin, "BigNaturals"
"Big Tits Boss", btb, "BigTitsBoss"
"Bikini Crashers", "BikiniCrashers"
"Captain Stabbin", cas, "CaptainStabbin"
"CFNM Secret", cfnms, "CFNMSecret"
"Cum Fiesta", cuf, "CumFiesta"
"Euro Sex Parties", esp, "EuroSexParties"
"First Time Auditions", fta, "FirstTimeAuditions"
"Flower Tucci Official Site", "FlowerTucciOfficialSite"
"Hot Bush", hotbush, "HotBush"
"In The Vip", inthevip, "InTheVip"
"Mike In Brazil", mib, "MikeInBrazil"
"Mikes Apartment", map, "Mike's Apartment", "MikesApartment", "Mike'sApartment"
"Milf Hunter", mih, "MilfHunter"
"Milf Next Door", mnd, "MilfNextDoor"
"Moms Bang Teens", mbt, "MomsBangTeens"
"Money Talks", moneytalks, "MoneyTalks"
"Monster Curves", muc, "MonsterCurves"
"Pure18", p18, "Pure 18"
"Round And Brown", rab, "RoundAndBrown"
"Saturday Night Latinas", "SaturdayNightLatinas"
"See My Wife", "SeeMyWife"
"Street Blowjobs", sbj, "StreetBlowjobs"
"Teens Love Huge Cocks", tlhc, "TeensLoveHugeCocks"
"Vipcrew", "VIP Crew", "Vip Crew"
"We Live Together", wlt, "WeLiveTogether"

#Team Skeet - Missing some usenet abbreviations
"Exxxtra Small", ext, "ExxxtraSmall"
"Her Freshman Year", "HerFreshmanYear"
"Innocent High", inh, innocenthigh, "InnocentHigh"
"Oye Loca", oyeloca, "OyeLoca"
"Pov Life", povl, "PovLife"
"Rub A Teen", "RubATeen"
"Self Desire", "SelfDesire"
"She's New", "She'sNew", "ShesNew"
"Solo Interviews", "SoloInterviews"
"Step Siblings", steps, "StepSiblings"
"Teen Curves", tc, "TeenCurves"
"Teen Pies", teenpies, "TeenPies"
"Teens Do Porn", tdp, "TeensDoPorn"
"Teens Love Money", tlm, "TeensLoveMoney"
"Teeny Black", teenyblack, "TeenyBlack"
"The Real Workout", therealworkout, "TheRealWorkout"
"This Girl Sucks", thisgirlsucks, "ThisGirlSucks"
"Titty Attack", ta, "TittyAttack"

#Other Sites Not Part of a Network
"Amateur Allure", aa, "AmateurAllure"
"Babes", babes
"Burning Angel", burna, "BurningAngel"
"Digital Playground", dpg, "DigitalPlayground"
"Porn Fidelity", pf, "PornFidelity"
"Manojob", maj
"Nubiles", nubiles
"The Dick Suckers", tds, "TheDickSuckers"
"Tonight's Girlfriend", tog, "Tonight'sGirlfriend", "TonightsGirlfriend"
"Scoreland", shd. "ScoreHD", "Score HD"
"Pure Mature", pm, ktr.pm, "PureMature"
